isco88,onetsoc10
1120,11-1011.00
1130,11-1011.00
1210,11-1011.00
1222,11-1021.00
1228,11-1021.00
1311,11-1021.00
1312,11-1021.00
1313,11-1021.00
1314,11-1021.00
1315,11-1021.00
1316,11-1021.00
1317,11-1021.00
1318,11-1021.00
1319,11-1021.00
1110,11-1031.00
1234,11-2011.00
1233,11-2021.00
1233,11-2022.00
1227,11-2031.00
1234,11-2031.00
1231,11-3011.00
1317,11-3011.00
1236,11-3021.00
1227,11-3021.00
1231,11-3031.00
1231,11-3031.01
1231,11-3031.02
1232,11-3111.00
1232,11-3131.00
1142,11-3121.00
1232,11-3121.00
1222,11-3051.00
1312,11-3051.00
1235,11-3061.00
3422,11-3071.00
3422,11-3071.01
3422,11-3071.02
1226,11-3071.00
1226,11-3071.01
1226,11-3071.02
1235,11-3071.00
1235,11-3071.01
1235,11-3071.02
1316,11-3071.00
1316,11-3071.01
1316,11-3071.02
1221,11-9013.00
1221,11-9013.01
1221,11-9013.02
1221,11-9013.03
1311,11-9013.00
1311,11-9013.01
1311,11-9013.02
1311,11-9013.03
6111,11-9013.00
6111,11-9013.01
6111,11-9013.02
6111,11-9013.03
6112,11-9013.00
6112,11-9013.01
6112,11-9013.02
6112,11-9013.03
6113,11-9013.00
6113,11-9013.01
6113,11-9013.02
6113,11-9013.03
6114,11-9013.00
6114,11-9013.01
6114,11-9013.02
6114,11-9013.03
6121,11-9013.00
6121,11-9013.01
6121,11-9013.02
6121,11-9013.03
6122,11-9013.00
6122,11-9013.01
6122,11-9013.02
6122,11-9013.03
6123,11-9013.00
6123,11-9013.01
6123,11-9013.02
6123,11-9013.03
6124,11-9013.00
6124,11-9013.01
6124,11-9013.02
6124,11-9013.03
6129,11-9013.00
6129,11-9013.01
6129,11-9013.02
6129,11-9013.03
6130,11-9013.00
6130,11-9013.01
6130,11-9013.02
6130,11-9013.03
1223,11-9021.00
1313,11-9021.00
1319,11-9031.00
1319,11-9032.00
1319,11-9033.00
1319,11-9039.00
1237,11-9041.00
1225,11-9051.00
1315,11-9051.00
5143,39-4031.00
1319,11-9071.00
1315,11-9081.00
1225,11-9081.00
1237,11-9111.00
1237,11-9121.00
1226,11-9131.00
1317,11-9141.00
3413,11-9141.00
1318,11-9151.00
1143,11-9199.00
1229,11-9199.00
1239,11-9199.00
1141,11-9199.00
1224,11-9199.00
1227,11-9199.00
1228,11-9199.00
1237,11-9199.00
1317,11-9199.00
1318,11-9199.00
1319,11-9199.00
3419,13-1011.00
3416,13-1021.00
3416,13-1022.00
3416,13-1023.00
3412,13-1031.00
3412,13-1031.01
3412,13-1031.02
3417,13-1032.00
3412,13-1032.00
2352,13-1041.00
2352,13-1041.01
2352,13-1041.02
2352,13-1041.03
2352,13-1041.04
2352,47-4011.00
2352,13-1041.06
3441,13-1041.00
3441,13-1041.01
3441,13-1041.02
3441,13-1041.03
3441,13-1041.04
3441,47-4011.00
3441,13-1041.06
3442,13-1041.00
3442,13-1041.01
3442,13-1041.02
3442,13-1041.03
3442,13-1041.04
3442,47-4011.00
3442,13-1041.06
3443,13-1041.00
3443,13-1041.01
3443,13-1041.02
3443,13-1041.03
3443,13-1041.04
3443,47-4011.00
3443,13-1041.06
3444,13-1041.00
3444,13-1041.01
3444,13-1041.02
3444,13-1041.03
3444,13-1041.04
3444,47-4011.00
3444,13-1041.06
2419,13-1051.00
3417,13-1051.00
1120,11-9161.00
2412,13-1071.00
3423,13-1071.00
2412,13-1141.00
2412,13-1151.00
2412,13-1075.00
1316,13-1081.00
2419,13-1111.00
3414,13-1121.00
3439,13-1199.00
2419,13-1199.00
2411,13-2011.00
2411,13-2011.01
2411,13-2011.02
3442,13-2011.00
3442,13-2011.01
3442,13-2011.02
3417,13-2021.00
3417,13-2021.01
3417,13-2021.02
2419,13-2031.00
2419,13-2041.00
3421,13-2051.00
2419,13-2052.00
3412,13-2053.00
3411,13-2053.00
3421,13-2061.00
2419,13-2071.01
2419,13-2072.00
3442,13-2081.00
3449,13-2081.00
3419,13-2082.00
3419,13-2099.00
2131,15-1111.00
2132,15-1131.00
2131,15-1132.00
2144,15-1132.00
2131,15-1133.00
2144,15-1133.00
3121,15-1151.00
2131,15-1121.00
2131,15-1141.00
2131,15-1142.00
2131,15-1122.00
2131,15-1143.00
2131,15-1152.00
2131,15-1199.00
2139,15-1199.00
2121,15-2011.00
2121,15-2021.00
2121,15-2031.00
2122,15-2041.00
2121,15-2099.00
2141,17-1011.00
2141,17-1012.00
2149,17-1012.00
2148,17-1021.00
2148,17-1022.00
2121,17-2011.00
2121,17-2021.00
2211,17-2031.00
2149,17-2031.00
2121,17-2041.00
2146,17-2041.00
2144,17-2061.00
2143,17-2071.00
2144,17-2072.00
2149,17-2081.00
2149,17-2111.00
2149,17-2111.01
2149,17-2111.02
2149,17-2111.03
2145,17-2112.00
2149,17-2112.00
3141,17-2121.00
3141,17-2121.01
3141,17-2121.02
2147,17-2131.00
2147,17-2151.00
2149,17-2161.00
2147,17-2171.00
2149,17-2171.00
2149,17-2199.00
3118,17-3011.00
3118,17-3011.01
3118,17-3011.02
3118,17-3012.00
3118,17-3012.01
3118,17-3012.02
3118,17-3013.00
3118,17-3019.00
3119,17-3021.00
3111,17-3021.00
3460,17-3021.00
3112,17-3022.00
3113,17-3023.00
3113,17-3023.01
3113,17-3023.03
3114,17-3023.00
3114,17-3023.01
3114,17-3023.03
3113,17-3024.00
3114,17-3024.00
3115,17-3024.00
3117,17-3025.00
3119,17-3026.00
3115,17-3026.00
3115,17-3027.00
3116,17-3029.00
3119,17-3031.00
3119,17-3031.01
3119,17-3031.02
2211,19-1011.00
2211,19-1012.00
2211,19-1013.00
2212,19-1013.00
2213,19-1013.00
2211,19-1021.00
2211,19-1022.00
2211,19-1023.00
2211,19-1029.00
2212,19-1029.00
2211,19-1031.00
2211,19-1031.01
2211,19-1031.02
2211,19-1031.03
2213,19-1032.00
2211,19-1032.00
2211,19-1041.00
2211,19-1042.00
2211,19-1099.00
2111,19-2011.00
2111,19-2012.00
2112,19-2021.00
2113,19-2031.00
2147,19-2032.00
2221,19-2041.00
2114,19-2042.00
2111,19-2099.00
2112,19-2099.00
2113,19-2099.00
2114,19-2099.00
2441,19-3011.00
3460,19-3022.00
2445,19-3031.00
2445,19-3031.01
2445,19-3031.02
2445,19-3031.03
2445,19-3032.00
2445,19-3039.00
2442,19-3041.00
2141,19-3051.00
2442,19-3091.00
2442,19-3091.01
2442,19-3091.02
2442,19-3092.00
2443,19-3093.00
2443,19-3094.00
1141,19-3094.00
2446,19-3099.00
7415,19-4011.00
7415,19-4011.01
7415,19-4011.02
3211,19-4011.00
3211,19-4011.01
3211,19-4011.02
3212,19-4011.00
3212,19-4011.01
3212,19-4011.02
3213,19-4011.00
3213,19-4011.01
3213,19-4011.02
3211,19-4021.00
3212,19-4021.00
3111,19-4031.00
3119,19-4051.00
3119,19-4051.01
3119,19-4051.02
3460,19-4061.00
3460,19-4061.01
3211,19-4091.00
3212,19-4091.00
3213,19-4091.00
3211,19-4092.00
3211,19-4093.00
3212,19-4093.00
3213,19-4093.00
3111,19-4099.00
3460,21-1011.00
3460,21-1012.00
3460,21-1013.00
